Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	"Protein class"	"Biological process"	"Molecular function"	Evidence	"RNA tissue specificity"	Interactions	"Subcellular main location"
COPS4	"CSN4, SGN4"	ENSG00000138663	"COP9 signalosome subunit 4"	Q9BT78	"Essential proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	86	"Nuclear speckles"
COPS5	"CSN5, JAB1, MOV-34, SGN5"	ENSG00000121022	"COP9 signalosome subunit 5"	Q92905	"Enzymes, Essential proteins, Predicted intracellular proteins"		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"	"Low tissue specificity"	241	Nucleoplasm
COPS6	"CSN6, MOV34-34KD"	ENSG00000168090	"COP9 signalosome subunit 6"	Q7L5N1	"Enzymes, Essential proteins, Predicted intracellular proteins"	"Host-virus interaction"		"Evidence at protein level"	"Low tissue specificity"	156	Nucleoplasm
COPS7A	CSN7A	ENSG00000111652	"COP9 signalosome subunit 7A"	Q9UBW8	"Predicted intracellular proteins"	"Host-virus interaction"		"Evidence at protein level"	"Low tissue specificity"	70	Nucleoplasm
COPS7B	CSN7B	ENSG00000144524	"COP9 signalosome subunit 7B"	Q9H9Q2	"Predicted intracellular proteins"	"Host-virus interaction"		"Evidence at protein level"	"Low tissue specificity"	75	Nucleoplasm
COPS8	"COP9, CSN8, MGC1297, SGN8"	ENSG00000198612	"COP9 signalosome subunit 8"	Q99627	"Essential proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	82	Nucleoplasm
COPS9	"CSNAP, MYEOV2"	ENSG00000172428	"COP9 signalosome subunit 9"	Q8WXC6	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	18	"Nucleoplasm, Cytosol"
COPZ1	"CGI-120, COPZ"	ENSG00000111481	"COPI coat complex subunit zeta 1"	P61923	"Essential proteins, Predicted intracellular proteins"	"ER-Golgi transport, Protein transport, Transport"		"Evidence at protein level"	"Low tissue specificity"	70	
COPZ2	MGC23008	ENSG00000005243	"COPI coat complex subunit zeta 2"	Q9P299	"Essential proteins, Predicted intracellular proteins"	"ER-Golgi transport, Protein transport, Transport"		"Evidence at protein level"	"Low tissue specificity"	10	
COQ10A	FLJ32452	ENSG00000135469	"Coenzyme Q10A"	Q96MF6	"Predicted intracellular proteins"			"Evidence at protein level"	"Group enriched"		"Endoplasmic reticulum, Cytosol"
COQ10B	FLJ13448	ENSG00000115520	"Coenzyme Q10B"	Q9H8M1	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"		Cytosol
COQ2	"CL640, FLJ26072"	ENSG00000173085	"Coenzyme Q2, polyprenyltransferase"	Q96H96	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Isoprene biosynthesis, Ubiquinone biosynthesis"	Transferase	"Evidence at protein level"	"Tissue enhanced"	1	Cytosol
COQ3	bA9819.1	ENSG00000132423	"Coenzyme Q3, methyltransferase"	Q9NZJ6	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Ubiquinone biosynthesis"	"Methyltransferase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	14	Nucleoplasm
COQ4	CGI-92	ENSG00000167113	"Coenzyme Q4"	Q9Y3A0	"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins"	"Ubiquinone biosynthesis"	Lyase	"Evidence at protein level"	"Low tissue specificity"	11	Mitochondria
COQ5	MGC4767	ENSG00000110871	"Coenzyme Q5, methyltransferase"	Q5HYK3	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Ubiquinone biosynthesis"	"Methyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	25	"Nucleoli, Mitochondria"
COQ6	CGI-10	ENSG00000119723	"Coenzyme Q6, monooxygenase"	Q9Y2Z9	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Ubiquinone biosynthesis"	"Monooxygenase, Oxidoreductase"	"Evidence at protein level"	"Low tissue specificity"	17	
COQ7	"CAT5, CLK-1"	ENSG00000167186	"Coenzyme Q7, hydroxylase"	Q99807	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Ubiquinone biosynthesis"	"Monooxygenase, Oxidoreductase"	"Evidence at protein level"	"Low tissue specificity"	7	"Plasma membrane"
COQ8A	"ADCK3, CABC1, COQ8, SCAR9"	ENSG00000163050	"Coenzyme Q8A"	Q8NI60	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Ubiquinone biosynthesis"	"Kinase, Transferase"	"Evidence at protein level"	"Group enriched"	44	Mitochondria
COQ8B	"ADCK4, COQ8, FLJ12229"	ENSG00000123815	"Coenzyme Q8B"	Q96D53	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"		"Kinase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	32	Mitochondria
COQ9	"C16orf49, DKFZP434K046"	ENSG00000088682	"Coenzyme Q9"	O75208	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Ubiquinone biosynthesis"		"Evidence at protein level"	"Tissue enhanced"	46	"Mitochondria, Cytosol"
CORO1A	"coronin-1, HCORO1, p57"	ENSG00000102879	"Coronin 1A"	P31146	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		Actin-binding	"Evidence at protein level"	"Group enriched"	35	Cytosol
CORO1B	coronin-2	ENSG00000172725	"Coronin 1B"	Q9BR76	"Plasma proteins, Predicted intracellular proteins"		Actin-binding	"Evidence at protein level"	"Low tissue specificity"	25	"Plasma membrane, Cytosol"
CORO1C	"coronin-3, HCRNN4"	ENSG00000110880	"Coronin 1C"	Q9ULV4	"Plasma proteins, Predicted intracellular proteins"		Actin-binding	"Evidence at protein level"	"Low tissue specificity"	53	
CORO2B	"ClipinC, KIAA0925"	ENSG00000103647	"Coronin 2B"	Q9UQ03	"Plasma proteins, Predicted intracellular proteins"		Actin-binding	"Evidence at protein level"	"Tissue enhanced"	1	"Plasma membrane, Focal adhesion sites"
CORO6	"ClipinE, FLJ14871"	ENSG00000167549	"Coronin 6"	Q6QEF8	"Predicted intracellular proteins"			"Evidence at protein level"	"Group enriched"	3	"Golgi apparatus"
CORO7	"FLJ22021, POD1"	ENSG00000262246	"Coronin 7"	P57737	"Predicted intracellular proteins"	"Protein transport, Transport"	Actin-binding	"Evidence at protein level"	"Tissue enhanced"	6	
COTL1	CLP	ENSG00000103187	"Coactosin like F-actin binding protein 1"	Q14019	"Plasma proteins, Predicted intracellular proteins"		"Actin-binding, Chaperone"	"Evidence at protein level"	"Tissue enhanced"	5	Cytosol
COX10		ENSG00000006695	"Cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10"	Q12887	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Heme biosynthesis, Lipid metabolism"	Transferase	"Evidence at protein level"	"Tissue enhanced"	3	Mitochondria
COX11	COX11P	ENSG00000166260	"Cytochrome c oxidase copper chaperone COX11"	Q9Y6N1	"Essential proteins, Predicted membrane proteins"			"Evidence at protein level"	"Low tissue specificity"	7	
COX14	"C12orf62, MGC14288"	ENSG00000178449	"Cytochrome c oxidase assembly factor COX14"	Q96I36	"Disease related genes, Human disease related genes, Predicted membrane proteins"			"Evidence at protein level"	"Low tissue specificity"	3	Mitochondria
COX15	CEMCOX2	ENSG00000014919	"Cytochrome c oxidase assembly homolog COX15"	Q7KZN9	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Heme biosynthesis"	Oxidoreductase	"Evidence at protein level"	"Low tissue specificity"	28	Mitochondria
COX16	"C14orf112, HSPC203"	ENSG00000133983	"Cytochrome c oxidase assembly factor COX16"	Q9P0S2	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"			"Evidence at protein level"	"Low tissue specificity"	3	Mitochondria
COX17		ENSG00000138495	"Cytochrome c oxidase copper chaperone COX17"	Q14061	"Cancer-related genes, Essential proteins, Predicted intracellular proteins"		Chaperone	"Evidence at protein level"	"Low tissue specificity"	8	Mitochondria
COX18	"FLJ38991, OXA1L2"	ENSG00000163626	"Cytochrome c oxidase assembly factor COX18"	Q8N8Q8	"Predicted membrane proteins, Transporters"			"Evidence at protein level"	"Low tissue specificity"		
COX19	MGC104475	ENSG00000240230	"Cytochrome c oxidase assembly factor COX19"	Q49B96	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	2	Cytosol
COX20	"FAM36A, FLJ43269"	ENSG00000203667	"Cytochrome c oxidase assembly factor COX20"	Q5RI15	"Disease related genes, Essential proteins, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"			"Evidence at protein level"	"Low tissue specificity"	19	Mitochondria
COX4I1	"COX4, COX4-1, COXIV, COXIV-1"	ENSG00000131143	"Cytochrome c oxidase subunit 4I1"	P13073	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			"Evidence at protein level"	"Low tissue specificity"	115	Mitochondria
COX4I2	"COX4-2, COX4B, COX4L2, COXIV-2, dJ857M17.2"	ENSG00000131055	"Cytochrome c oxidase subunit 4I2"	Q96KJ9	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"			"Evidence at protein level"	"Tissue enhanced"	2	
COX5A		ENSG00000178741	"Cytochrome c oxidase subunit 5A"	P20674	"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"			"Evidence at protein level"	"Tissue enhanced"	33	
COX5B		ENSG00000135940	"Cytochrome c oxidase subunit 5B"	P10606	"Metabolic proteins, Predicted intracellular proteins, Transporters"			"Evidence at protein level"	"Tissue enhanced"	39	Mitochondria
COX6A1	"COX6A, COX6AL"	ENSG00000111775	"Cytochrome c oxidase subunit 6A1"	P12074	"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Predicted membrane proteins"		Oxidoreductase	"Evidence at protein level"	"Tissue enhanced"	4	Mitochondria
COX6A2	"COX6AH, COXVIa-M, COXVIAH"	ENSG00000156885	"Cytochrome c oxidase subunit 6A2"	Q02221	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"		Oxidoreductase	"Evidence at protein level"	"Group enriched"		
COX6B1	"COX6B, COXG"	ENSG00000126267	"Cytochrome c oxidase subunit 6B1"	P14854	"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	8	Mitochondria
COX6C		ENSG00000164919	"Cytochrome c oxidase subunit 6C"	P09669	"Metabolic proteins, Predicted membrane proteins"			"Evidence at protein level"	"Low tissue specificity"	19	Mitochondria
COX7A1	"COX7A, COX7AH"	ENSG00000161281	"Cytochrome c oxidase subunit 7A1"	P24310	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"		Oxidoreductase	"Evidence at protein level"	"Group enriched"	2	
COX7A2	"COX7AL, COXVIIa-L"	ENSG00000112695	"Cytochrome c oxidase subunit 7A2"	P14406	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"		Oxidoreductase	"Evidence at protein level"	"Low tissue specificity"	11	
COX7A2L	"COX7AR, COX7RP, EB1, SCAF1, SCAFI, SIG81"	ENSG00000115944	"Cytochrome c oxidase subunit 7A2 like"	O14548	"Predicted intracellular proteins, Predicted membrane proteins"			"Evidence at protein level"	"Low tissue specificity"	7	Mitochondria
COX7B		ENSG00000131174	"Cytochrome c oxidase subunit 7B"	P24311	"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"			"Evidence at protein level"	"Tissue enhanced"	3	
COX7C		ENSG00000127184	"Cytochrome c oxidase subunit 7C"	P15954	"Metabolic proteins, Predicted membrane proteins, Transporters"			"Evidence at protein level"	"Tissue enhanced"	11	
COX8A	"COX, COX8, COX8-2, COX8L, VIII, VIII-L"	ENSG00000176340	"Cytochrome c oxidase subunit 8A"	P10176	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"			"Evidence at protein level"	"Low tissue specificity"	9	
CP	AB073614	ENSG00000047457	Ceruloplasmin	P00450	"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters"		Oxidoreductase	"Evidence at protein level"	"Tissue enriched"	11	
CPA1	CPA	ENSG00000091704	"Carboxypeptidase A1"	P15085	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"	"Tissue enriched"		
CPA3		ENSG00000163751	"Carboxypeptidase A3"	P15088	"Enzymes, Metabolic proteins, Plasma proteins, Predicted secreted proteins"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"	"Tissue enhanced"	1	"Golgi apparatus"
CPAMD8	"K-CAP, KIAA1283, VIP"	ENSG00000160111	"C3 and PZP like alpha-2-macroglobulin domain containing 8"	Q8IZJ3	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"		"Protease inhibitor, Serine protease inhibitor"	"Evidence at protein level"	"Tissue enhanced"		"Focal adhesion sites"
CPB1		ENSG00000153002	"Carboxypeptidase B1"	P15086	"Enzymes, Plasma proteins, Predicted secreted proteins"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"	"Tissue enriched"	1	"Endoplasmic reticulum"
CPD	GP180	ENSG00000108582	"Carboxypeptidase D"	O75976	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"	"Low tissue specificity"	29	Cytosol
CPE		ENSG00000109472	"Carboxypeptidase E"	P16870	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"	"Tissue enhanced"	2	"Vesicles, Centrosome"
CPEB1	"CPEB, FLJ13203"	ENSG00000214575	"Cytoplasmic polyadenylation element binding protein 1"	Q9BZB8	"Predicted intracellular proteins"	"mRNA processing, Translation regulation"	"Activator, Repressor, Ribonucleoprotein, RNA-binding"	"Evidence at protein level"	"Tissue enhanced"	13	"Nucleoplasm, Cytosol"
CPEB2		ENSG00000137449	"Cytoplasmic polyadenylation element binding protein 2"	Q7Z5Q1	"Predicted intracellular proteins"	"Translation regulation"	RNA-binding	"Evidence at protein level"	"Low tissue specificity"	2	Cytosol
CPEB3	KIAA0940	ENSG00000107864	"Cytoplasmic polyadenylation element binding protein 3"	Q8NE35	"Predicted intracellular proteins"	"Translation regulation"	"Activator, Repressor, RNA-binding"	"Evidence at protein level"	"Tissue enhanced"	1	Cytosol
CPEB4	KIAA1673	ENSG00000113742	"Cytoplasmic polyadenylation element binding protein 4"	Q17RY0	"Predicted intracellular proteins"		RNA-binding	"Evidence at protein level"	"Low tissue specificity"	4	"Nucleoplasm, Golgi apparatus"
CPED1	"C7orf58, FLJ21986"	ENSG00000106034	"Cadherin like and PC-esterase domain containing 1"	A4D0V7	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"		Nucleoplasm
CPLANE1	"C5orf42, FLJ13231, Hug, JBTS17"	ENSG00000197603	"Ciliogenesis and planar polarity effector complex subunit 1"	Q9H799	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Cilium biogenesis/degradation"		"Evidence at protein level"	"Low tissue specificity"		"Cytosol, Mid piece, Principal piece"
CPLANE2	"C1orf89, MGC10731, RSG1"	ENSG00000132881	"Ciliogenesis and planar polarity effector complex subunit 2"	Q9BU20	"Predicted intracellular proteins"	"Cilium biogenesis/degradation, Exocytosis, Protein transport, Transport"		"Evidence at protein level"	"Low tissue specificity"	8	Nucleoplasm
CPLX1	CPX-I	ENSG00000168993	"Complexin 1"	O14810	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Exocytosis, Neurotransmitter transport, Transport"		"Evidence at protein level"	"Tissue enriched"	4	Vesicles
CPM		ENSG00000135678	"Carboxypeptidase M"	P14384	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"	"Tissue enhanced"	9	Vesicles
CPNE1	CPN1	ENSG00000214078	"Copine 1"	Q99829	"Plasma proteins, Predicted intracellular proteins, Transporters"	"Differentiation, Transcription, Transcription regulation"	Repressor	"Evidence at protein level"	"Low tissue specificity"	6	"Nucleoplasm, Nuclear membrane"
CPNE2	CPN2	ENSG00000140848	"Copine 2"	Q96FN4	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	26	"Nucleoplasm, Mitochondria, Cytosol"
CPNE3		ENSG00000085719	"Copine 3"	O75131	"Plasma proteins, Predicted intracellular proteins, Transporters"			"Evidence at protein level"	"Low tissue specificity"	8	"Nucleoplasm, Cytosol"
CPNE8		ENSG00000139117	"Copine 8"	Q86YQ8	"Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	12	
CPOX	"CPO, CPX, HCP"	ENSG00000080819	"Coproporphyrinogen oxidase"	P36551	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Heme biosynthesis, Porphyrin biosynthesis"	Oxidoreductase	"Evidence at protein level"	"Low tissue specificity"	4	Mitochondria
CPPED1	"CSTP1, FLJ11151"	ENSG00000103381	"Calcineurin like phosphoesterase domain containing 1"	Q9BRF8	"Enzymes, Predicted intracellular proteins"		Hydrolase	"Evidence at protein level"	"Low tissue specificity"	2	Cytosol
CPQ	"LDP, PGCP"	ENSG00000104324	"Carboxypeptidase Q"	Q9Y646	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"	"Tissue enhanced"		"Golgi apparatus, Vesicles"
CPSF1	CPSF160	ENSG00000071894	"Cleavage and polyadenylation specific factor 1"	Q10570	"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"mRNA processing"	RNA-binding	"Evidence at protein level"	"Low tissue specificity"	42	Nucleoplasm
CPSF2	"CPSF100, KIAA1367"	ENSG00000165934	"Cleavage and polyadenylation specific factor 2"	Q9P2I0	"Essential proteins, Plasma proteins, Predicted intracellular proteins"	"mRNA processing"	RNA-binding	"Evidence at protein level"	"Low tissue specificity"	31	Nucleoplasm
CPSF3	"CPSF-73, CPSF73, YSH1"	ENSG00000119203	"Cleavage and polyadenylation specific factor 3"	Q9UKF6	"Disease related genes, Essential proteins, Predicted intracellular proteins"	"mRNA processing"	"Endonuclease, Hydrolase, Nuclease, Ribonucleoprotein, RNA-binding"	"Evidence at protein level"	"Low tissue specificity"	24	
CPSF4	"CPSF30, NAR"	ENSG00000160917	"Cleavage and polyadenylation specific factor 4"	O95639	"Essential proteins, Plasma proteins, Predicted intracellular proteins"	"Host-virus interaction, mRNA processing"	RNA-binding	"Evidence at protein level"	"Low tissue specificity"	18	Nucleoplasm
CPSF6	"CFIM, CFIM68, CFIM72, HPBRII-4, HPBRII-7"	ENSG00000111605	"Cleavage and polyadenylation specific factor 6"	Q16630	"Essential proteins, Plasma proteins, Predicted intracellular proteins"	"mRNA processing"	RNA-binding	"Evidence at protein level"	"Low tissue specificity"	318	"Nucleoplasm, Nuclear speckles"
CPSF7	"CFIM59, FLJ12529"	ENSG00000149532	"Cleavage and polyadenylation specific factor 7"	Q8N684	"Predicted intracellular proteins"	"mRNA processing"	RNA-binding	"Evidence at protein level"	"Low tissue specificity"	50	Nucleoplasm
CPT1A	"CPT1, CPT1-L, L-CPT1"	ENSG00000110090	"Carnitine palmitoyltransferase 1A"	P50416	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Fatty acid metabolism, Lipid metabolism, Transport"	"Acyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	12	Mitochondria
CPT1B	"CPT1-M, M-CPT1"	ENSG00000205560	"Carnitine palmitoyltransferase 1B"	Q92523	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism, Transport"	"Acyltransferase, Transferase"	"Evidence at protein level"	"Group enriched"	2	
CPT2	"CPT1, CPTASE"	ENSG00000157184	"Carnitine palmitoyltransferase 2"	P23786	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism, Transport"	"Acyltransferase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	10	"Nucleoplasm, Mitochondria"
CPTP	"GLTPD1, MGC10334"	ENSG00000224051	"Ceramide-1-phosphate transfer protein"	Q5TA50	"Predicted intracellular proteins"	"Lipid transport, Transport"		"Evidence at protein level"	"Low tissue specificity"		"Cytosol, Flagellar centriole, Mid piece"
CPVL		ENSG00000106066	"Carboxypeptidase vitellogenic like"	Q9H3G5	"Enzymes, Predicted intracellular proteins"		"Carboxypeptidase, Hydrolase, Protease"	"Evidence at protein level"	"Tissue enhanced"	39	"Endoplasmic reticulum"
CPXM1	"CPX-1, CPX1, CPXM"	ENSG00000088882	"Carboxypeptidase X, M14 family member 1"	Q96SM3	"Enzymes, Predicted secreted proteins"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"	"Tissue enhanced"		
CPXM2	"CPX2, UNQ676"	ENSG00000121898	"Carboxypeptidase X, M14 family member 2"	Q8N436	"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"			"Evidence at protein level"	"Tissue enhanced"		
CRABP2	CRABP-II	ENSG00000143320	"Cellular retinoic acid binding protein 2"	P29373	"Predicted intracellular proteins"	Transport		"Evidence at protein level"	"Group enriched"	6	"Nucleoplasm, Cytosol"
CRACDL	"C2orf55, KIAA1211L, MGC42367"	ENSG00000196872	"CRACD like"	Q6NV74	"Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	3	"Microtubules, Centrosome"
CRACR2B	"EFCAB4A, MGC45840"	ENSG00000177685	"Calcium release activated channel regulator 2B"	Q8N4Y2	"Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"	1	
CRADD	RAIDD	ENSG00000169372	"CASP2 and RIPK1 domain containing adaptor with death domain"	P78560	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	Apoptosis		"Evidence at protein level"	"Low tissue specificity"	13	Cytosol
CRAMP1	"CRAMP1L, KIAA1426"	ENSG00000007545	"Cramped chromatin regulator homolog 1"	Q96RY5	"Predicted intracellular proteins, Transcription factors"		DNA-binding	"Evidence at protein level"	"Low tissue specificity"	3	Nucleoplasm
CRAT	CAT1	ENSG00000095321	"Carnitine O-acetyltransferase"	P43155	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Fatty acid metabolism, Lipid metabolism, Transport"	"Acyltransferase, Transferase"	"Evidence at protein level"	"Tissue enhanced"	1	"Golgi apparatus, Cytosol"
CRBN	"MRT2, MRT2A"	ENSG00000113851	Cereblon	Q96SW2	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Transporters"	"Ubl conjugation pathway"		"Evidence at protein level"	"Low tissue specificity"	56	
CRCP	"C17, CGRP-RCP, POLR3I, RCP, RCP9"	ENSG00000241258	"CGRP receptor component"	O75575	"Essential proteins, Predicted intracellular proteins, RNA polymerase related proteins"	"Antiviral defense, Immunity, Innate immunity, Transcription"		"Evidence at protein level"	"Low tissue specificity"	50	Nucleoplasm
CREB1		ENSG00000118260	"CAMP responsive element binding protein 1"	P16220	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"	"Biological rhythms, Differentiation, Host-virus interaction, Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"	"Low tissue specificity"	54	Nucleoplasm
CREB3	"Luman, LZIP, sLZIP"	ENSG00000107175	"CAMP responsive element binding protein 3"	O43889	"Predicted membrane proteins, Transcription factors"	"Chemotaxis, Host-virus interaction, Transcription, Transcription regulation, Unfolded protein response"	"Activator, DNA-binding, Repressor"	"Evidence at protein level"	"Low tissue specificity"	48	Cytosol
CREB3L1	OASIS	ENSG00000157613	"CAMP responsive element binding protein 3 like 1"	Q96BA8	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors"	"Host-virus interaction, Transcription, Transcription regulation, Unfolded protein response"	"Activator, Developmental protein, DNA-binding"	"Evidence at protein level"	"Tissue enhanced"	172	Nucleoplasm
CREB3L2	"BBF2H7, TCAG_1951439"	ENSG00000182158	"CAMP responsive element binding protein 3 like 2"	Q70SY1	"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors"	"Transcription, Transcription regulation, Unfolded protein response"	"Activator, Developmental protein, DNA-binding"	"Evidence at protein level"	"Low tissue specificity"		"Nucleoplasm, Endoplasmic reticulum"
CREB3L4	"AIbZIP, ATCE1, CREB3, CREB4, hJAL"	ENSG00000143578	"CAMP responsive element binding protein 3 like 4"	Q8TEY5	"Predicted intracellular proteins, Predicted membrane proteins, Transcription factors"	"Transcription, Transcription regulation, Unfolded protein response"	"Activator, DNA-binding"	"Evidence at protein level"	"Tissue enhanced"	2	"Nucleoplasm, Nuclear membrane"
CREB5	"CRE-BPA, H_GS165L15.1"	ENSG00000146592	"CAMP responsive element binding protein 5"	Q02930	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"	"Low tissue specificity"	11	Nucleoplasm
CREBBP	"CBP, KAT3A, RSTS, RTS"	ENSG00000005339	"CREB binding protein"	Q92793	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Biological rhythms, Host-virus interaction, Transcription, Transcription regulation"	"Activator, Acyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	260	"Nucleoplasm, Nuclear bodies"
CREBL2		ENSG00000111269	"CAMP responsive element binding protein like 2"	O60519	"Predicted intracellular proteins, Transcription factors"	"Cell cycle, Differentiation, Transcription, Transcription regulation"	"Activator, DNA-binding"	"Evidence at protein level"	"Tissue enhanced"	6	Mitochondria
CREBRF	"C5orf41, LRF"	ENSG00000164463	"CREB3 regulatory factor"	Q8IUR6	"Predicted intracellular proteins"	"Stress response, Transcription, Transcription regulation, Transport, Unfolded protein response"	Repressor	"Evidence at protein level"	"Tissue enhanced"	3	Nucleoplasm
CREBZF	ZF	ENSG00000137504	"CREB/ATF bZIP transcription factor"	Q9NS37	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"		"Evidence at protein level"	"Low tissue specificity"	19	"Nucleoplasm, Mitochondria"
CREG1	CREG	ENSG00000143162	"Cellular repressor of E1A stimulated genes 1"	O75629	"Predicted secreted proteins"	"Growth regulation"		"Evidence at protein level"	"Low tissue specificity"	4	"Golgi apparatus, Vesicles"
