uniprot_id,gene,description
Q9P0S9,TMEM14C,Transmembrane protein 14C
Q9P2E9,RRBP1,Ribosome-binding protein 1
Q9P2H5,USP35,Ubiquitin carboxyl-terminal hydrolase 35
Q9P2N5,RBM27,RNA-binding protein 27
Q9UBC9,SPRR3,Small proline-rich protein 3
Q9UBG0,MRC2,C-type mannose receptor 2
Q9UBG3,CRNN,Cornulin
Q9UBM7,DHCR7,7-dehydrocholesterol reductase
Q9UBX5,FBLN5,Fibulin-5
Q9UDR5,AASS,"Alpha-aminoadipic semialdehyde synthase, mitochondrial"
Q9UEY8,ADD3,Gamma-adducin
Q9UFG5,C19orf25,UPF0449 protein C19orf25
Q9UG63,ABCF2,ATP-binding cassette sub-family F member 2
Q9UHA4,LAMTOR3,Ragulator complex protein LAMTOR3
Q9UHD1,CHORDC1,Cysteine and histidine-rich domain-containing protein 1
Q9UHQ1,NARF,Nuclear prelamin A recognition factor
Q9UHY1,NRBP1,Nuclear receptor-binding protein
Q9UJ68,MSRA,Mitochondrial peptide methionine sulfoxide reductase
Q9UKL6,PCTP,Phosphatidylcholine transfer protein
Q9UKM9,RALY,RNA-binding protein Raly
Q9ULC8,ZDHHC8,Probable palmitoyltransferase ZDHHC8
Q9ULD5,ZNF777,Zinc finger protein 777
Q9ULX7,CA14,Carbonic anhydrase 14
Q9UNF1,MAGED2,Melanoma-associated antigen D2
Q9UNN5,FAF1,FAS-associated factor 1
Q9UP65,PLA2G4C,Cytosolic phospholipase A2 gamma
Q9UPS8,ANKRD26,Ankyrin repeat domain-containing protein 26
Q9UQ90,SPG7,Paraplegin
Q9Y241,HIGD1A,"HIG1 domain family member 1A, mitochondrial"
Q9Y265,RUVBL1,RuvB-like 1
Q9Y295,DRG1,Developmentally-regulated GTP-binding protein 1
Q9Y2E4,DIP2C,Disco-interacting protein 2 homolog C
Q9Y2R5,MRPS17,"28S ribosomal protein S17, mitochondrial"
Q9Y2R9,MRPS7,"28S ribosomal protein S7, mitochondrial"
Q9Y2S2,CRYL1,Lambda-crystallin homolog
Q9Y2T3,GDA,Guanine deaminase
Q9Y333,LSM2,U6 snRNA-associated Sm-like protein LSm2
Q9Y3A6,TMED5,Transmembrane emp24 domain-containing protein 5
Q9Y3B3,TMED7,Transmembrane emp24 domain-containing protein 7
Q9Y3C0,WASHC3,WASH complex subunit 3
Q9Y3D3,MRPS16,"28S ribosomal protein S16, mitochondrial"
Q9Y3D8,AK6,Adenylate kinase isoenzyme 6
Q9Y3D9,MRPS23,"28S ribosomal protein S23, mitochondrial"
Q9Y3E5,PTRH2,"Peptidyl-tRNA hydrolase 2, mitochondrial"
Q9Y3I1,FBXO7,F-box only protein 7
Q9Y4Z0,LSM4,U6 snRNA-associated Sm-like protein LSm4
Q9Y5L3,ENTPD2,Ectonucleoside triphosphate diphosphohydrolase 2
Q9Y5S9,RBM8A,RNA-binding protein 8A
Q9Y5Y2,NUBP2,Cytosolic Fe-S cluster assembly factor NUBP2
Q9Y639,NPTN,Neuroplastin
Q9Y6Y0,IVNS1ABP,Influenza virus NS1A-binding protein
